1,Fundamental Programming,,A program is:,A set of instructions for the computer,A hardware component,A storage device,An operating system,a,A program tells the computer what to do step by step.,Easy
2,Fundamental Programming,,Programming language is used to:,Design hardware,Communicate with computer,Store data only,Run operating system,a,"",Easy
3,Fundamental Programming,,Which of the following is NOT a programming language?,Python,Java,HTML,C++,c,"HTML is a markup language, not a programming language.",Easy
4,Fundamental Programming,,Algorithm is:,Computer hardware,Programming error,Step-by-step solution to a problem,Programming language,c,Algorithms define logical steps to solve problems.,Easy
5,Fundamental Programming,,Flowchart is used to:,Write code,Design database,Represent algorithm visually,Execute program,c,Flowcharts show logic using symbols.,Easy
6,Fundamental Programming,,Which symbol is used for decision making in flowchart?,Rectangle,Oval,Diamond,Circle,c,Diamond represents decision (Yes/No).,Easy
7,Fundamental Programming,,Variable is used to:,Store instructions,Store data values,Execute program,Print output,b,Variables store data during program execution.,Easy
8,Fundamental Programming,,Data type defines:,Program speed,Type of data stored,Program logic,Variable name,b,Data types specify what kind of data a variable can hold.,Easy
9,Fundamental Programming,,Which of the following is a numeric data type?,Character,String,Integer,Boolean,c,Integer stores whole numbers.,Easy
10,Fundamental Programming,,Which operator is used for assignment?,==,!=,=,<=,c,Assignment operator stores value in a variable.,Easy
11,Fundamental Programming,,Which operator checks equality?,=,==,<=,+=,b,Equality operator compares two values.,Easy
12,Fundamental Programming,,Which is a relational operator?,+,*,>,=,c,Relational operators compare values.,Easy
13,Fundamental Programming,,Logical AND operator is represented by:,||,!,&&,==,c,AND operator returns true if both conditions are true.,Easy
14,Fundamental Programming,,Which loop is guaranteed to execute at least once?,for,while,do-while,foreach,c,do-while executes before checking condition.,Easy
15,Fundamental Programming,,Loop is used to:,Make decision,Repeat statements,Store data,Define function,b,Loops repeat code multiple times.,Easy
16,Fundamental Programming,,Which statement is used for decision making?,for,while,if,goto,c,if statement evaluates conditions.,Easy
17,Fundamental Programming,,Which keyword is used to stop a loop?,continue,break,return,exit,b,break terminates loop execution.,Easy
18,Fundamental Programming,,Which keyword skips current iteration of loop?,break,stop,continue,pass,c,continue skips remaining statements in current loop.,Easy
19,Fundamental Programming,,Function is:,Variable,Loop,Block of code performing a task,Data type,c,Functions modularize programs.,Easy
20,Fundamental Programming,,Main advantage of function is:,Increase program size,Code reusability,Slow execution,Increase errors,b,Functions reduce code duplication.,Easy
21,Fundamental Programming,,Parameter is:,Value returned by function,Variable passed to function,Data type,Loop counter,b,Parameters pass data to functions.,Easy
22,Fundamental Programming,,Return statement is used to:,Stop program,End loop,Send value back from function,Print output,c,return sends result to caller.,Easy
23,Fundamental Programming,,Compiler is used to:,Execute program line by line,Translate source code to machine code,Store code,Debug program,b,Compiler converts code before execution.,Easy
24,Fundamental Programming,,Interpreter:,Translates entire program at once,Executes line by line,Stores program,Edits code,b,Interpreter executes code line by line.,Easy
25,Fundamental Programming,,Syntax error occurs due to:,Wrong logic,Wrong grammar of language,Wrong output,Hardware failure,b,Syntax errors violate language rules.,Easy
26,Fundamental Programming,,Runtime error occurs:,Before execution,During execution,After execution,At compile time,b,Runtime errors happen while program runs.,Easy
27,Fundamental Programming,,Logical error results in:,Program crash,Compilation failure,Wrong output,No execution,c,Logic errors produce incorrect results.,Easy
28,Fundamental Programming,,Which symbol is used for comments in most languages?,//,##,%%,"",a,`//` is common single-line comment symbol.,Easy
29,Fundamental Programming,,Array is used to:,Store multiple values of same type,Store single value,Execute loops,Print output,a,Arrays store similar data elements.,Easy
30,Fundamental Programming,,Index of first element in array is usually:,1,-1,0,Depends on user,c,Most languages use zero-based indexing.,Easy
31,Fundamental Programming,,Which is NOT a loop structure?,for,while,if,do-while,c,if is decision structure.,Easy
32,Fundamental Programming,,Which data type stores True/False values?,Integer,Float,Boolean,Character,c,Boolean stores logical values.,Easy
33,Fundamental Programming,,Constant is a value that:,Changes frequently,Never changes,Is deleted,Is executed,b,Constants remain fixed.,Easy
34,Fundamental Programming,,Which operator increases value by 1?,+=,++,--,"",b,Increment operator increases value.,Easy
35,Fundamental Programming,,Pseudocode is:,Real code,Machine language,Informal description of algorithm,Compiler output,c,Pseudocode explains logic without syntax.,Easy
36,Fundamental Programming,,Which structure allows multiple conditions?,if,if-else,switch,loop,c,switch handles multiple cases.,Easy
37,Fundamental Programming,,Which programming concept avoids code repetition?,Loop,Function,Variable,Array,b,Functions promote reusability.,Easy
38,Fundamental Programming,,Which of the following is a valid identifier?,2value,total_sum,total-sum,total sum,b,Identifiers cannot start with digits or contain spaces.,Easy
39,Fundamental Programming,,Which symbol is used to end a statement in C/C++?,:,.,;,",",c,Semicolon terminates statements.,Easy
40,Fundamental Programming,,Which programming approach focuses on functions?,Object-oriented,Procedural,Logical,Functional hardware,b,Procedural programming uses functions.,Easy
41,Fundamental Programming,,Which programming paradigm uses objects?,Procedural,Functional,Object-oriented,Logical,c,OOP uses objects and classes.,Easy
42,Fundamental Programming,,Debugging means:,Writing code,Finding and fixing errors,Executing program,Compiling code,b,Debugging removes bugs.,Easy
43,Fundamental Programming,,Which is NOT an error type?,Syntax,Runtime,Logical,Compiler,d,"Compiler is a tool, not an error.",Easy
44,Fundamental Programming,,Which loop is best when number of iterations is known?,while,do-while,for,infinite,c,for loop is ideal for known iterations.,Easy
45,Fundamental Programming,,Which term refers to storing data temporarily?,Hard disk,Variable,Program,Compiler,b,Variables hold temporary data.,Easy
46,Fundamental Programming,,Which statement exits the entire program?,break,continue,return,end,c,return exits function/program.,Easy
47,Fundamental Programming,,Which type of language is Python?,Low-level,Machine,High-level,Assembly,c,Python is high-level and human-readable.,Easy
48,Fundamental Programming,,Which structure executes code based on condition?,Loop,Decision,Sequence,Array,b,Decision structures depend on conditions.,Easy
49,Fundamental Programming,,Which symbol represents OR logical operator?,&&,||,!,==,b,OR operator checks any true condition.,Easy
50,Fundamental Programming,,Which stage converts algorithm into code?,Testing,Debugging,Coding,Execution,c,"",Easy
51,Fundamental Programming,,Which of the following best describes an algorithm?,A programming language,A finite sequence of well-defined steps,A flowchart symbol,A computer hardware device,b,"An algorithm must be finite, clear, and step-by-step.",Medium
52,Fundamental Programming,,Which property is NOT essential for an algorithm?,Finiteness,Ambiguity,Effectiveness,Input,b,"Algorithms must be unambiguous, not ambiguous.",Medium
53,Fundamental Programming,,A flowchart helps mainly in:,Reducing syntax errors,Improving program logic,Speeding up execution,Reducing memory usage,b,Flowcharts visualize logic clearly.,Medium
54,Fundamental Programming,,Which symbol is used for input/output in a flowchart?,Rectangle,Diamond,Parallelogram,Oval,c,Parallelogram represents input/output.,Medium
55,Fundamental Programming,,Which error is most difficult to detect?,Syntax error,Runtime error,Logical error,Compilation error,c,Logical errors give wrong output but no error message.,Medium
56,Fundamental Programming,,What happens if a variable is used without initialization?,Compilation error always,Runtime error always,Garbage or unpredictable value,Program terminates,c,Uninitialized variables may contain garbage values.,Medium
57,Fundamental Programming,,Scope of a variable refers to:,Lifetime of variable,Memory location,Area where variable is accessible,Data type,c,Scope defines where a variable can be used.,Medium
58,Fundamental Programming,,Lifetime of a variable means:,Variable name,Time variable exists in memory,Variable scope,Variable size,b,Lifetime is duration in memory during execution.,Medium
